iter	Passed	Remaining
0	139	139562
1	142	70995
2	154	51290
3	156	38937
4	158	31545
5	164	27274
6	167	23769
7	169	21059
8	172	18988
9	175	17344
10	179	16125
11	181	14921
12	183	13899
13	184	13020
14	186	12266
15	189	11668
16	193	11193
17	195	10668
18	197	10189
19	199	9761
20	201	9377
21	203	9024
22	207	8812
23	209	8514
24	211	8237
25	213	7979
26	214	7744
27	216	7521
28	218	7323
29	222	7204
30	224	7020
31	226	6847
32	228	6687
33	230	6535
34	231	6389
35	234	6276
36	236	6156
37	238	6044
38	240	5933
39	243	5838
40	245	5745
41	248	5666
42	251	5596
43	253	5502
44	255	5412
45	256	5327
46	258	5244
47	260	5167
48	263	5113
49	265	5053
50	267	4985
51	269	4917
52	271	4858
53	273	4795
54	275	4736
55	279	4707
56	281	4657
57	283	4610
58	285	4559
59	287	4509
60	296	4561
61	299	4530
62	301	4489
63	304	4447
64	306	4402
65	311	4413
66	316	4402
67	318	4367
68	326	4402
69	330	4384
70	333	4360
71	343	4429
72	347	4410
73	350	4381
74	352	4347
75	362	4412
76	365	4380
77	372	4398
78	376	4385
79	378	4354
80	380	4320
81	390	4376
82	392	4337
83	396	4322
84	405	4364
85	407	4335
86	410	4308
87	413	4288
88	419	4289
89	422	4276
90	424	4245
91	430	4245
92	437	4262
93	439	4232
94	441	4204
95	443	4174
96	450	4193
97	452	4166
98	455	4143
99	458	4123
100	460	4098
101	465	4098
102	468	4078
103	470	4054
104	472	4031
105	474	4004
106	476	3979
107	481	3978
108	483	3955
109	486	3934
110	488	3909
111	489	3884
112	491	3859
113	496	3858
114	498	3837
115	501	3819
116	502	3792
117	504	3771
118	507	3757
119	510	3747
120	513	3728
121	515	3706
122	517	3687
123	519	3669
124	525	3681
125	528	3666
126	530	3646
127	532	3627
128	535	3615
129	540	3614
130	543	3602
131	545	3585
132	547	3568
133	549	3549
134	551	3533
135	556	3536
136	558	3521
137	561	3506
138	563	3488
139	565	3471
140	566	3453
141	569	3441
142	572	3428
143	573	3411
144	575	3395
145	577	3379
146	579	3364
147	581	3347
148	585	3341
149	587	3330
150	589	3316
151	591	3301
152	593	3286
153	595	3272
154	598	3260
155	600	3251
156	603	3239
157	605	3226
158	608	3220
159	610	3207
160	612	3191
161	615	3184
162	618	3174
163	620	3163
164	622	3152
165	625	3140
166	626	3126
167	630	3123
168	633	3114
169	635	3103
170	640	3103
171	642	3091
172	645	3086
173	648	3076
174	650	3065
175	653	3057
176	654	3044
177	656	3032
178	659	3026
179	662	3015
180	664	3005
181	666	2996
182	669	2988
183	671	2977
184	673	2968
185	676	2959
186	678	2949
187	680	2939
188	683	2932
189	685	2921
190	687	2910
191	690	2906
192	692	2896
193	694	2885
194	696	2874
195	698	2864
196	700	2853
197	701	2842
198	706	2843
199	708	2834
200	710	2823
201	712	2813
202	714	2803
203	715	2793
204	717	2783
205	721	2780
206	723	2771
207	725	2761
208	726	2751
209	728	2741
210	730	2731
211	732	2722
212	735	2717
213	737	2708
214	739	2700
215	741	2691
216	744	2685
